server,osobaid,datum,id,pocetSlov,Sentiment,ethos,pathos,logos,neg,neu,pos,manipulation,populism,topics,entities
Twitter,andrej-babis,29.10.2020 0:00:00,00d11d6ece9eb397b435ab6cacee221a,43,-0.2263,0.6,0.4,0.8,0.053,0.911,0.036,0.2,0.3,"",""
Twitter,andrej-babis,14.04.2020 0:00:00,00d71031d77c50105d76195638a4e825,42,0.8641,0.5,0,1,0.051,0.707,0.242,0,0,"","ČEZ a s"
Facebook,andrej-babis,11.07.2016 0:00:00,00dd63222add9243988d839d0053e636,7,0,0.3,0.1,0.2,0,1,0,0.4,0.2,"","Blesku"
Facebook,andrej-babis,31.07.2017 0:00:00,00e69dd0f500c7ad1ffd4a882389ca0d,169,0.9817,0.7,0.5,0.6,0.021,0.808,0.171,0.4,0.3,"sdílení informací",""
Facebook,andrej-babis,27.11.2016 0:00:00,00e7e01b9b0514d6d44982a6aac7ef33,193,0.2674,0.7,0.5,0.8,0.021,0.8767,0.102,0.4,0.3,"veřejná doprava;komunikace s občany","Jašková;Ťok"
Facebook,andrej-babis,27.08.2019 0:00:00,00E89EDD04BB6C79CC7BB54347A4418A,13,0,0.3,0.5,0.2,0,1,0,0.1,0.2,"výstava;voda;civilizace","Kramář"
Twitter,andrej-babis,13.03.2020 0:00:00,00ea2cfb7a72e5ea16d3bcaf8a6272c2,41,0.296,0.5,0.3,0.8,0.074,0.806,0.12,0.2,0.4,"",""
Twitter,andrej-babis,29.10.2019 0:00:00,00f0ab49a9539b59ea130762fc869b3f,39,0.9049,0.6,0.7,0.4,0.044,0.69,0.266,0.3,0.5,"",""
Twitter,andrej-babis,20.11.2019 0:00:00,00f1949e1a587a940a6f7599b8c3f135,42,0.0772,0.6,0.5,0.7,0,0.974,0.026,0.4,0.3,"elektronizace zdravotnictví;legislativa","National Health Portal"
Twitter,andrej-babis,12.10.2020 0:00:00,00f1b2f1822a370706e6c4b35e7df463,32,0,0.5,0.3,0.7,0,1,0,0.2,0.1,"covid-19;státní rozpočet;stavební zákon",""
Twitter,andrej-babis,01.08.2020 0:00:00,00f217ef2ff580047e749f6f2df52690,16,0.357,0.6,0.5,0.4,0.053,0.829,0.118,0.3,0.2,"",""
Twitter,andrej-babis,11.12.2020 0:00:00,00f6884780944a1087985cdd73cf00b7,29,0.8074,0.7,0.4,0.6,0,0.783,0.217,0.3,0.2,"finanční rámec;fond obnovy;dohoda","Fond obnovy;Merkelová"
Twitter,andrej-babis,31.03.2020 0:00:00,01072a8a5ca141a37eeaaab6f3316e97,37,0.4393,0.5,0.4,0.6,0.076,0.795,0.129,0.3,0.2,"politická shoda","Poslanecká sněmovna"
Facebook,andrej-babis,14.10.2019 0:00:00,010CC256CBCDC9D2BE77E252331F6BDB,14,0,0.5,0.2,0.3,0,1,0,0.1,0.1,"","Wojnarem;ŠKODA Česká republika"
Twitter,andrej-babis,24.06.2020 0:00:00,011268358659fd7f8368f27b54fa1da0,40,-0.6249,0.6,0.5,0.7,0.095,0.905,0,0.3,0.4,"dopady pandemie;rozpočet eu","EU"
Facebook,andrej-babis,23.12.2020 0:00:00,0118b29bfee233857ecaadcd62020ad5,6,0,0,0,0,0,1,0,0,0,"osobní rozhodnutí;denní rutina",""
Twitter,andrej-babis,02.04.2020 0:00:00,011ea7f29eed69f4dac02163edffe272,20,0.8316,0.5,0.7,0.3,0,0.672,0.328,0.4,0.6,"inspirace",""
Twitter,andrej-babis,31.10.2023 0:00:00,0121db09b26c2485b9b01d8c9f7da2b3,191,0.9295,0.6,0.7,0.8,0.075,0.786,0.14,0.5,0.4,"ceny energií","Dukovany;Nečas;Nečasova;Putin;Rosatom;Topolánek;Mládek;Sobotka;ČEZuZ"
Twitter,andrej-babis,26.12.2022 0:00:00,012590d65260f1f9f234d93583e080d2,26,0.6705,0.3,0.5,0.2,0,0.723,0.277,0.1,0.4,"budoucnost",""
Twitter,andrej-babis,13.01.2020 0:00:00,012a0d5acd3a9d8d0f1f6ece7c2e71c2,29,0.8952,0.6,0.8,0.4,0,0.765,0.235,0.2,0.3,"","Kaščejevové;Sopkové"
Twitter,andrej-babis,27.11.2019 0:00:00,012be10491c53b0e5891f9334964889f,45,0.4019,0.6,0.3,0.8,0,0.942,0.058,0.2,0.4,"podpora investic;evropské fondy","EU;SFDI"
Twitter,andrej-babis,21.04.2020 0:00:00,013324f33d23b33e471e7227adc7dbe3,33,0.5106,0.5,0.2,0.7,0,0.898,0.102,0.1,0.3,"",""
Facebook,andrej-babis,22.06.2020 0:00:00,0137764e2b26f38db40b9342d7c7700e,6,0.4033,0,0,0,0,0.747,0.253,0,0,"historie;architektura;turismus",""
Twitter,andrej-babis,22.06.2020 0:00:00,0137a17fee983c2dfdc0966b57a29790,34,0,0.6,0.4,0.5,0,1,0,0.2,0.1,"architektura;kulturní dědictví","Goryczková;Janáka;Jurkoviče"
Facebook,andrej-babis,05.06.2019 0:00:00,0138DB5FAC8437651E6062033E9D147C,5,0,0.3,0.5,0.2,0,1,0,0.1,0,"historie;vojenské operace;druhá světová válka",""
Twitter,andrej-babis,17.04.2020 0:00:00,0139bf906ab66db79e8a80e90a644d19,40,-0.3313,0.5,0.4,0.6,0.087,0.876,0.038,0.3,0.2,"podpora živnostníků","OSVČ;Pětadvacítkou"
Facebook,andrej-babis,30.09.2019 0:00:00,013D4981E2E330971B609E00067B2DB2,7,0,0.5,0.1,0.2,0,1,0,0,0,"mezinárodní vztahy;diplomacie","Maasem"
Facebook,andrej-babis,15.04.2016 0:00:00,014b1c8f162440840942f0ee38883a38,9,0,0,0.5,0,0,1,0,0.2,0.3,"očekávání;symbolika",""
Twitter,andrej-babis,05.05.2021 0:00:00,014b69a25db062b5a245a8d640083612,40,0,0.5,0.4,0.6,0,1,0,0.3,0.2,"očkování;vakcíny;věková skupina;vládní politika","Babiš;Deníku N;Moderna"
Facebook,andrej-babis,08.01.2020 0:00:00,014fad77885ed2b086b7a7bf206bf8fe,5,0,0.3,0.4,0.2,0,1,0,0.1,0.2,"bezpečnostní otázky","Policie ČR"
Twitter,andrej-babis,07.07.2020 0:00:00,01672f7eedf1c1f3f9d30f1f8d1aa0e6,36,0.8491,0.5,0.6,0.7,0,0.804,0.196,0.4,0.3,"","COVID-19"
Twitter,andrej-babis,10.07.2021 0:00:00,0167b98a09d441691b355d9f722919cf,36,-0.5119,0.6,0.8,0.7,0.09,0.874,0.037,0.4,0.3,"rakovina;úmrtí;zdravotní péče","Cibulou"
Twitter,andrej-babis,26.04.2021 0:00:00,016862a9b39251c987f1c0b6409f6653,39,0.3614,0.5,0.7,0.6,0,0.928,0.072,0.4,0.3,"návrat k normálnímu životu;pandemie;testování;respektování opatření;mezinárodní situace",""
Facebook,andrej-babis,23.09.2016 0:00:00,01710E05A771BA269E9D6562972D67FA,30,0.4159,0.5,0.7,0.2,0.047,0.839,0.114,0.4,0.6,"politika;osobní vztahy","Hlavatý;Jutě"
Twitter,andrej-babis,03.06.2020 0:00:00,0178c1394d26738f936941a2a2ae4bc9,45,0.6908,0.7,0.3,0.8,0,0.875,0.125,0.2,0.4,"kompenzační vyhláška",""
Twitter,andrej-babis,02.06.2020 0:00:00,01792f96f5260fc4a56e74331e062afa,29,0.743,0.6,0.3,0.8,0.048,0.752,0.2,0.2,0.1,"dopady koronaviru;ekonomika;investice;vládní výdaje",""
Facebook,andrej-babis,16.01.2018 0:00:00,01798fb31842884d37e96bf748f90a14,37,0.3854,0.5,0.6,0.4,0,0.927,0.073,0.3,0.2,"tisková konference;důležitost informací",""
Twitter,andrej-babis,07.09.2020 0:00:00,017e2a4bd0dba2d19472fadcc8e425f9,39,0.3612,0.6,0.5,0.8,0,0.943,0.057,0.3,0.4,"podpora kultury;covid-kultura",""
Twitter,andrej-babis,02.09.2020 0:00:00,0181991dace76a01a15ed0c96df52ec4,47,0.4864,0.5,0.4,0.7,0,0.8775,0.1225,0.2,0.3,"regionální rozvoj","Smiřice"
Twitter,andrej-babis,22.01.2020 0:00:00,0182c40398d01bed413ed160fd93bc7c,27,0.3182,0.6,0.4,0.8,0,0.929,0.071,0.3,0.5,"digitální daň;návrh zákona",""
Twitter,andrej-babis,27.06.2021 0:00:00,0185bf1509cd063a3b326b61e987bced,21,-0.4939,0.6,0.3,0.7,0.237,0.612,0.152,0.2,0.1,"bezpečnostní opatření","Charity Brno"
Facebook,andrej-babis,08.09.2020 0:00:00,01884bf6dc314ddacccf0baaa424e6c1,13,0,0,0.5,0,0,1,0,0.2,0,"komunikace;osobní vztahy;technologie","Adolfem"
Twitter,andrej-babis,19.11.2019 0:00:00,01987d4779cd51c1cdd6c175fc5b3131,44,0.8689,0.4,0.6,0.3,0.057,0.743,0.2,0.2,0.1,"","České družiny"
Facebook,andrej-babis,02.12.2019 0:00:00,019c6d61c21901335ad30a28b9795d30,12,0,0.4,0.3,0.2,0,1,0,0.1,0.2,"klimatická změna;mezinárodní spolupráce;politika","Cop25 cl;Sánchezem"
Twitter,andrej-babis,29.12.2020 0:00:00,01a4d7a677c5c68915e2baccb21d3354,43,-0.4215,0.5,0.2,0.8,0.057,0.917,0.026,0.1,0.1,"majetkoprávní příprava;stavba","Design amp Built;MD;SP"
Facebook,andrej-babis,05.11.2020 0:00:00,01a64d55d15d9eba10f46b4181c2f21e,45,-0.4939,0.5,0.3,0.8,0.091,0.872,0.037,0.2,0.4,"","Správa;Správa státních hmotných rezerv"
Facebook,andrej-babis,22.03.2021 0:00:00,01b3648c140f5585c045148e2a44a7dd,7,0,0.3,0.5,0.2,0,1,0,0.1,0.4,"tisková konference;návštěva nemocnice","Nemocnice Hořovice"
Twitter,andrej-babis,07.11.2019 0:00:00,01b960019513c51680dbbb10ca362b36,44,0.91,0.6,0.4,0.7,0,0.784,0.216,0.2,0.3,"","FN Olomouc;FN Ostrava"
Twitter,andrej-babis,22.03.2021 0:00:00,01b9786804e006aac9adf9f619973496,37,0.1027,0.5,0.3,0.7,0.05,0.872,0.078,0.2,0.1,"nouzový stav;epidemická situace;plošné testování","Poslanecká sněmovna"
Twitter,andrej-babis,27.03.2020 0:00:00,01badfaf36d2b58ddb4e69fac64fc467,23,0.4005,0.4,0.2,0.8,0,0.862,0.138,0.1,0.1,"uzdravení pacientů;covid-19","COVID-19;Ústřední vojenské nemocnici v Praze"
Twitter,andrej-babis,07.04.2020 0:00:00,01bd2388aeff224c93a22a33ecc1c78d,39,0.8271,0.6,0.5,0.7,0,0.801,0.199,0.4,0.5,"podpora pro osvč","OSVČ"
Twitter,andrej-babis,12.04.2020 0:00:00,01bde3e141d677422c2a909886ce2171,46,0.8481,0.5,0.7,0.6,0.047,0.722,0.231,0.4,0.3,"",""
Twitter,andrej-babis,11.05.2021 0:00:00,01be3f557361b54474902cf9eb7d9b60,27,0,0.5,0.4,0.6,0,1,0,0.2,0.3,"očkování;registrace;věková hranice",""
Facebook,andrej-babis,21.03.2021 0:00:00,01bf8c61dfff8ca2c8795e397f67a373,793,0.9757,1,0.5,1,0.046,0.88,0.074,0,0,"","COVID-19;Fakultní;JEP;Medical Tribune;Pneumologické kliniky Fakultní Thomayerovy nemocnice;Thomayerovy nemocnice;Vašákovou;Vašáková;České pneumologické a ftizeologické společnosti ČLS;Fakultní Thomayerova nemocnice;Thomayerovu nemocnici"
Facebook,andrej-babis,18.07.2016 0:00:00,01CB4BA0EB9CC246D770E8FED67FE7CF,12,0,0.4,0.3,0.2,0,1,0,0.5,0.6,"výzva;osobní angažovanost","Deník Aha;Podroužek"
Twitter,andrej-babis,04.06.2020 0:00:00,01cd88361ce6a96a0b13485ee2fbcf80,25,-0.3818,0.5,0.4,0.8,0.08,0.92,0,0.3,0.2,"infrastruktura",""
Twitter,andrej-babis,13.04.2020 0:00:00,01ce500d72a0da535cba14b4dfe1fcf5,44,-0.7506,0.5,0.3,0.8,0.145,0.811,0.043,0.2,0.1,"covid-19;testování;statistiky;uzdravení;úmrtí",""
Twitter,andrej-babis,14.07.2021 0:00:00,01cfb0acc5dc2666e3d32dc1b975aaef,35,0,0.6,0.7,0.5,0,1,0,0.4,0.5,"",""
Twitter,andrej-babis,15.11.2019 0:00:00,01cfca668006eecf53f1bdb74751fd08,48,0.7087,0.6,0.5,0.7,0.059,0.809,0.132,0.3,0.4,"",""
Twitter,andrej-babis,17.08.2020 0:00:00,01d524d6c3a144865d08e7ee2d4bb232,42,0.5859,0.5,0.2,0.8,0,0.906,0.094,0.1,0.1,"tisková konference","Senát"
Facebook,andrej-babis,22.08.2019 0:00:00,01e4c3297ad147b50037838d4ad51152,9,0,0.3,0.5,0.2,0,1,0,0.1,0.2,"aktuality","Metnar"
Twitter,andrej-babis,13.12.2020 0:00:00,01e7b40244af69035f1378337c4b7172,26,-0.2575,0.6,0.4,0.2,0.081,0.873,0.045,0.7,0.5,"dezinformace;politická komunikace;veřejné mínění","Blatný"
Twitter,andrej-babis,30.01.2020 0:00:00,01ed90e2dd9c6344162f564b444555b4,46,0.7964,0.5,0.7,0.6,0,0.864,0.136,0.3,0.4,"",""
Twitter,andrej-babis,28.02.2020 0:00:00,01f767aabf8d840b50934d0e5951c222,37,-0.128,0.6,0.5,0.8,0.073,0.864,0.063,0.2,0.1,"ochrana přírody",""
Facebook,andrej-babis,28.02.2019 0:00:00,01FAB91A5546BAF13171681E1B120D99,14,0,0.5,0.3,0.1,0,1,0,0.2,0.4,"prezident;restaurace;kultura;francie;česká republika","Centre Pompidou;Kuchyň;Lasvignes"
Twitter,andrej-babis,04.11.2020 0:00:00,0206de00a9e3ee6cc891f715609e4ee3,30,0.7506,0.6,0.4,0.7,0,0.849,0.151,0.2,0.3,"epidemie;mezinárodní spolupráce;pomoc","Blatný"
Twitter,andrej-babis,05.02.2020 0:00:00,0208c875f6ad2b45bd018fa3e17082be,44,0.6808,0.6,0.5,0.7,0,0.903,0.097,0.4,0.5,"snížení dph",""
Twitter,andrej-babis,06.12.2022 0:00:00,0208ccd2f1cd7b8ff2bc32d1c5c965a9,46,0.045,0.7,0.3,0.8,0.0313,0.8997,0.069,0.2,0.4,"budoucnost země",""
Twitter,andrej-babis,26.04.2021 0:00:00,020a7dc9f6446a4bc15821d9da8f0281,33,0.6604,0.8,0.6,0.7,0.11,0.662,0.228,0.4,0.5,"","V 4"
Twitter,andrej-babis,19.03.2020 0:00:00,0213679fc1106f3b619952a6c880d3ff,35,0.6249,0.5,0.3,0.7,0,0.887,0.113,0.2,0.1,"aktualizace dat",""
Twitter,andrej-babis,03.09.2021 0:00:00,0224bc2a138400227c0cc3fa49ceef31,27,0.8019,0.3,0.7,0.2,0,0.774,0.226,0.4,0.5,"počasí",""
Facebook,andrej-babis,05.01.2018 0:00:00,023198AA0562C8DDB5A54E778DDBA56C,5,0,0.3,0.5,0.2,0,1,0,0.4,0.6,"politická situace;slovenská politika","Fico"
Twitter,andrej-babis,11.01.2021 0:00:00,0231ab9b7cbcec597d7ba1d86f03a4e1,37,0.25,0.5,0.3,0.7,0,0.95,0.05,0.2,0.1,"paušální daň;finanční úřady",""
Twitter,andrej-babis,16.05.2020 0:00:00,02346a20e678fffb23f3f863c123e71f,40,0.6705,0.6,0.4,0.8,0,0.854,0.146,0.3,0.5,"investice;samosprávy;ekonomika;projekty",""
Twitter,andrej-babis,22.04.2020 0:00:00,023837f833c2b0dad00608fc4393fbc9,23,0,0.6,0.2,0.8,0,1,0,0.1,0.2,"vládní opatření;ochrana veřejného zdraví;ekonomické dopady;covid-19","COVID-19"
Facebook,andrej-babis,24.11.2019 0:00:00,023c5bacefaaf9960fa5ccbd7093917d,51,-0.9044,0.5,0.6,0.8,0.215,0.712,0.072,0.4,0.3,"udržitelný rozvoj;chudoba;nezaměstnanost",""
Twitter,andrej-babis,29.06.2021 0:00:00,023d6c406ccb47b33eed0a5dab59c371,6,0.6705,0.3,0.5,0.2,0,0.435,0.565,0.1,0.4,"tisková konference;důležitost informací",""
Twitter,andrej-babis,05.09.2020 0:00:00,02401e5353678d5147d274c6ae070147,39,0.2107,0.5,0.3,0.8,0,0.9165,0.0835,0.4,0.2,"dopravní infrastruktura;rozpočet;investice",""
Twitter,andrej-babis,06.02.2020 0:00:00,02464564ba0a649ff705e0d9f34d1081,38,-0.4404,0.5,0.4,0.6,0.098,0.861,0.041,0.3,0.7,"rozpočet;koheze;nezaměstnanost;hdp;ekonomický růst",""
Facebook,andrej-babis,29.05.2016 0:00:00,024F67546703D966A938E672A664EFB3,71,0.8126,0.6,0.5,0.7,0,0.894,0.106,0.4,0.5,"infrastruktura;zdravotnictví;vzdělávání","Řehounek"
Twitter,andrej-babis,31.03.2020 0:00:00,025135284cf3e3e193bfa1cdfa977a5e,6,0.4003,0.2,0.3,0.5,0,0.575,0.425,0.4,0.1,"zdravotní situace;vyléčení;epidemie",""
Twitter,andrej-babis,18.09.2020 0:00:00,0254b9fa10843633541a1d081048ce87,13,0.7506,0.5,0.3,0.2,0,0.61,0.39,0.1,0.1,"doporučení",""
Twitter,andrej-babis,23.07.2020 0:00:00,02583c73035c63e2be1e088b39beef65,35,0.0772,0.7,0.5,0.8,0.051,0.892,0.057,0.2,0.3,"","Státní fond životního prostředí ČR"
Facebook,andrej-babis,17.07.2020 0:00:00,0260b973e9ff3830a35f7848feb23771,29,0.1999,0.4,0.5,0.3,0.062,0.853,0.085,0.2,0.1,"poděkování;koronavirová krize;spolupráce",""
Twitter,andrej-babis,21.04.2021 0:00:00,0263f79ff6656132c897489c73be1dd2,39,0.6712,0.5,0.2,0.8,0.074,0.782,0.144,0.1,0.1,"státní dluhopisy","MF"
Twitter,andrej-babis,25.03.2021 0:00:00,026b0a09bfafd86d69fd037653d8110a,38,-0.4019,0.6,0.5,0.8,0.088,0.859,0.053,0.4,0.3,"stavební zákon;výstavba bytů",""
Twitter,andrej-babis,13.05.2020 0:00:00,0273087b96685df9e0dbf6a1a4c66b22,40,-0.192,0.5,0.3,0.4,0.1715,0.6875,0.141,0.2,0.4,"covid-19;eet;senát",""
Facebook,andrej-babis,12.06.2016 0:00:00,02826A15AAE47CB5A7ED8EE15D55E745,19,0,0.3,0.1,0.2,0,1,0,0.4,0.2,"kvalita služeb;osobní zkušenost",""
Twitter,andrej-babis,28.02.2020 0:00:00,028462b2ca109febff19e1c4223abb22,42,0.242,0.7,0.2,0.8,0.023,0.917,0.06,0.1,0.3,"doprava;spolupráce institucí","Ministerstvo dopravy;Ředitelství silnic a dálnic"
Twitter,andrej-babis,05.10.2020 0:00:00,02867fd7fc49c9cf2a2e8534579b2c48,30,0,0.6,0.4,0.8,0,1,0,0.3,0.2,"","IT"
Twitter,andrej-babis,12.01.2022 0:00:00,0286995017c3d156b57b5bd82a8bb9cd,32,0.5816,0.5,0.6,0.7,0.144,0.636,0.219,0.4,0.6,"","ANO"
Twitter,andrej-babis,27.02.2020 0:00:00,0289e1f411f0e0e0a5a2a878063000f5,30,0.7227,0.8,0.3,0.7,0,0.86,0.14,0.2,0.1,"","Střediska správy a údržby dálnic Bernartice"
Facebook,andrej-babis,05.08.2017 0:00:00,02A329DC9ACD9FA266D9CEBC7A8EAA52,16,0.6361,0.5,0.5,0,0,0.782,0.218,0,0,"příroda;společenské aktivity","Majchrákem;U Libuše"
