;EU;ČR;Praha;Česká republika;SPD;Babiš;Česko;Praze;ANO;ČSSD;Evropský parlament;ODS;Brno;Bruselu;Sněmovně;Senátu;Babiše;KSČM;KDU ČSL;Evropské unie;České republice;TOP 09;USA;Zeman;NATO;Evropské komise;Zemana;EP;Německu;Sněmovny;V 4;Okamura;Brusel;ČT;Francie;Německo;Německa;Piráti;Schillerová;Poslanecké sněmovny;STAN;Komise;Ukrajina;Poslanecké sněmovně;Pirátů;EK;Číny;EET;Číně;Hamáček;Senát;Evropská unie;Ostravě;Babišovi;Havlíček;Evropské unii;Ostrava;Francii;Československa;OSN;Sýrie;Unie;nan;Sýrii;ČT 24;Agrofert;Senát Parlamentu ČR;Czech Republic;Piráty;Rusku;Polsko;Rusko;Evropské rady;UK;Havla;Evropskou unii;Turecka;Ruska;HDP;Maláčová;Polska;Čína;Sněmovna;ŘSD;Slovensko;Havlíčkem;Rakousku;Británie;Pražském hradě;Maďarsko;České televize;Evropská komise;Itálie;Turecko;CO 2;Parlamentu;Plzni;Salvini;Trikolóra;Českou republikou;MPO;Le Pen;České;Salvinim;Olomouci;Polsku;PS;Slovensku;Masaryka;NKÚ;Německem;Ústavní soud;New Yorku;Karlovy Vary;Schillerovou;Macron;Čapí hnízdo;Agrofertu;Maďarsku;Juncker;Trumpa;Afghánistánu;republiky;Merkelová;Plzeň;Klause;AB;Fiala;Itálii;MPSV;Klaus;Čínou;ČEZ;Schillerové;Maďarska;Olomouc;FB;Rakousko;TV Barrandov;Brabec;Slovenska;Vojtěch;Evropské radě;Dostálová;Kalousek;Poslanecká sněmovna Parlamentu České republiky;Wildersem;Johnson;Ostravy;Štrasburku;Události komentáře;Zlíně;Trump;Pardubice;BIS;Karlových Varech;Británii;Orbán;Švédsku;Izrael;Turecku;Pražský hrad;Zemanovi;Maláčové;Velké Británie;OECD;Havel;Unii;Huawei;Parlamentu České;Ředitelství silnic a dálnic;Hamáčka;Moravce;Kremlík;Velká Británie;Velké Británii;Prague;Hřib;Gotta;Zlín;Ministerstvo financí;Sněmovnou;Soukupa;David;MF;Hrad;Evropskou komisi;Iráku;Komisi;Putin;Mac;Mae;Staněk;SSSR;Sokolově;Jourová;Kladno;Ústavního soudu;ČNB;Zemanem;KSČ;Palacha;Brabcem;Ruskem;OKD;Evropské komisi;WHO;Staňka;Charanzová;Soros;Benešová;OZE;Salviniho;Toman;Starostové a nezávislí;D 1;Ministerstvo dopravy;SŽDC;Rady;Rakouska;Paříži;Vojtěchem;Šojdrová;Ústí nad Labem;Moskvě;Scheinherr;Československu;ENF;Bruselskou elitou;Pardubicích;Hradci Králové;Úřadu vlády;Association for Accessible Medicines;Dlabajová;Izraeli;von der Leyen;Gott;LIVE;Coelho;USAF;Macrona;Ředitelství silnic a dálnic ŘSD;Varšavské smlouvy;Kladně;Belgie;Islámského státu;Česká televize;Evropa národů a svobody;Svobodnými;Zahradil;Poslanecká sněmovna;Hlaváček;StB;Španělsko;Ministerstva financí;UNESCO;Ministerstvo pro místní rozvoj;Lánech;Olomouce;ČVUT;ČTK;Indie;Rumunska;Vídni;Česká pošta;BBQGuys NewYearsEve;Čaputová;Evropskou radu;Ťok;České televizi;Kyjev;IT;Škoda Auto;Masaryk;Petříček;Událostech komentářích;Hradě;Washingtonu;Nejvyšší kontrolní úřad;Hitler;Radě;Pellegrini;Zdechovský;MMR;Erdogan;Partii;New York;Českých Budějovicích;Pražského hradu;Švýcarsko;Kalouska;Pekingu;Švédsko;Bratislavě;Havlíčka;Maláčovou;Vídeň;Čaputové;Jourovou;Jihlavy;Liberec;Most;Anderson Land Use;Niskanen;MŽP;Tureckem;Benešové;islámu;Berlíně;Bratislava;Český rozhlas;Švédska;Radě EU;Izraele;Kramářova;vila;Kubera;Hamáčkem;Plaga;Československo;Znojmě;Jakla;Senátem;Řecku;Mladé Boleslavi;Parlament;PSP;Jourové;Kladna;AfD;Íránu;Nejvyššího kontrolního úřadu;Okamury;Litoměřicích;Vondráček;Spojené státy;Orbánem;Orbána;Estonska;Michálka;Polčák;Schwarzenberg;Evropská rada;Nováková;PS PČR;Parlamentní listy;EPP;Londýně;Litoměřice;Hnutí ANO;Ministerstvo průmyslu a obchodu;Svoboda;Makedonie;Svoboda a přímá demokracie;Právu;Slovenské republiky;Francií;Primě;Ministerstvo životního prostředí;Singapuru;Plzně;Šumperk;Spojených států;Trumpem;Davosu;Varšava;Dostálovou;Dánsko;SFDI;Michálek;Dánska;Vystrčil;Liberci;Lega;Finsku;HAPPIEST MOMS IN THE;Jihlava;Hřiba;Merkelové;Budapešti;Dzurilla;Srbska;Pirátům;Sorose;Horákové;Kroměříži;Hradu;Novákovou;eurozóny;Tomanem;Evropskou komisí;Lucemburku;Akademie věd;Kremlíka;Rada;Řecko;Japonska;Chebu;Čínu;KDU
Senát Parlamentu ČR;7;62;3;5;0;0;1;0;0;0;1;1;1;0;1;7;2;0;1;3;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Czech Republic;10;16;15;11;0;1;15;11;4;3;2;4;4;5;3;2;1;1;2;11;7;0;7;0;5;6;3;0;3;2;7;0;0;1;2;0;0;0;9;1;0;4;0;2;0;0;2;5;2;2;1;3;4;0;11;2;3;0;0;4;0;2;0;2;1;0;0;0;0;1;2;0;2;1;1;3;1;0;5;1;3;2;1;1;3;13;3;1;3;3;1;3;2;1;0;1;0;0;1;0;1;0;0;0;2;0;0;2;2;0;3;3;3;0;7;0;1;0;2;0;0;0;0;0;1;0;0;1;0;0;1;1;0;6;0;0;0;2;0;2;2;6;5;4;0;0;0;1;1;0;0;0;3;0;1;0;1;1;0;2;4;1;0;1;1;1;1;3;2;0;0;0;0;3;2;1;3;1;1;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;3;0;1;2;0;3;0;0;1;0;0;0;1;1;0;0;8;0;1;0;0;0;0;0;0;0;3;0;1;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;3;1;0;4;1;2;0;0;1;2;0;0;0;0;1;2;1;0;2;3;0;0;0;0;0;1;0;1;1;0;0;0;0;2;0;3;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;3;0;0;0;0;2;0;2;0;1;0;1;0;0;2;1;0;0;0;0;2;0;1;0;2;0;0;0;0;1;2;0;0;0;0;1;0;2;0;0;0;1;0;0;0;2;1;0;2;1;1;5;0;3;2;0;0;1;0;0;0;1;0;0;1;0;1;2;3;1;0;0;0;0;2;0;1;0;0;4;5;0;1;2;0;0;0
Piráty;8;3;6;7;12;7;0;9;8;9;5;15;1;1;7;1;5;4;9;1;2;10;2;3;1;0;4;0;0;5;0;3;1;2;2;2;1;9;0;1;10;0;0;0;8;0;1;0;2;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;6;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;2;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Rusku;14;6;5;6;6;6;7;5;2;3;3;2;1;4;1;0;1;0;1;9;2;1;9;0;3;3;1;0;5;0;3;0;2;2;2;5;0;0;0;0;0;1;9;0;0;0;4;1;6;0;0;4;0;0;2;5;1;1;1;0;1;3;0;1;0;0;0;1;0;0;1;5;2;2;0;0;0;7;1;0;2;1;0;0;0;2;3;1;0;2;1;2;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;2;1;1;4;1;1;1;0;2;0;0;3;1;0;0;0;2;0;0;0;1;2;0;2;3;0;1;2;0;0;2;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;0;2;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;1;2;0;0;1;0;0;0;0;0;1;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;2;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Polsko;23;14;5;11;13;7;15;2;10;10;3;4;4;10;1;0;2;6;2;11;6;0;11;0;4;5;2;1;2;3;6;0;2;0;8;10;5;2;4;0;0;8;2;2;0;1;0;3;2;1;0;6;1;2;2;2;4;2;1;2;2;5;0;2;0;0;0;2;0;1;0;1;2;0;0;2;3;1;4;0;1;4;0;1;8;4;3;5;2;24;0;9;6;2;3;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;8;4;3;2;2;4;1;0;3;0;2;0;0;0;1;0;0;1;0;0;0;0;0;4;0;0;0;6;0;1;3;4;3;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;5;3;0;0;0;0;0;0;5;0;0;2;1;1;0;3;0;0;0;0;0;3;0;2;0;0;0;0;0;3;1;0;0;0;1;0;2;1;0;0;0;0;0;4;4;2;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;3;0;0;1;0;1;0;0;0;1;1;0;0;1;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;1;0;0;1;2;1;1;0;0;1;2;0;0;0;3;0;0;0;0;1;0;2;0;0;0;0;0;1;2;0;2;6;0;1;0;2;1;0;0;0;1;0;0;0;0;0;0;4;2;0;1;0;0;1;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;2;0;0;0;0;0;2;0;3;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;1;0;1;0;2;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;1;0;1;0;2;1;0;0;1;0;0;0;0;1;0;2;1;0;1;0;0;0;0
Rusko;12;10;3;12;5;3;8;2;2;3;4;3;0;5;0;0;2;0;1;5;5;3;10;2;4;1;3;1;5;1;1;0;2;0;3;5;0;1;2;0;1;1;11;1;0;0;1;1;1;1;0;2;0;0;2;4;1;0;1;1;1;2;0;1;0;0;1;0;0;5;1;0;0;0;0;1;1;4;2;1;0;8;0;0;0;0;2;1;0;3;1;2;1;2;1;2;1;1;0;0;0;0;0;0;0;0;0;1;2;0;2;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;2;1;2;0;1;1;2;0;0;1;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;1;0;1;0;2;0;0;1;0;0;1;1;0;1;3;2;0;0;0;0;0;0;0;0;0;0;1;1;0;5;0;0;0;2;0;0;0;0;2;1;0;0;1;2;1;1;0;2;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;2;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;1;1;0;2;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;2;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;1;0;0;5;0
Evropské rady;28;14;11;14;2;4;11;6;5;4;11;5;6;15;2;2;4;0;1;15;5;2;9;2;9;8;1;1;1;2;10;0;5;0;5;1;5;1;4;0;1;7;1;0;0;1;1;3;3;0;4;6;4;1;9;5;2;1;2;3;3;4;0;2;0;1;3;2;0;2;2;0;0;1;3;0;1;0;5;0;0;2;2;0;1;9;2;1;3;2;0;4;1;0;0;2;1;0;0;0;0;0;0;0;3;1;0;1;0;0;1;1;2;1;3;1;0;0;3;2;2;1;0;1;1;1;1;1;1;0;0;1;1;4;0;0;0;2;0;4;0;7;7;1;0;0;0;3;1;1;0;0;1;0;0;0;1;2;0;1;1;0;0;0;2;2;0;1;1;0;1;0;0;2;2;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;1;0;0;1;3;2;2;1;1;0;4;0;1;1;0;1;0;0;0;1;2;0;0;3;1;0;0;0;0;0;0;0;2;3;0;3;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;1;1;2;1;0;0;0;3;1;1;0;0;4;1;1;0;4;3;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;3;1;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;3;1;0;0;0;2;0;0;2;1;2;0;0;0;0;0;0;1;0;0;1;0;1;0;2;2;0;0;0;0;0;0;1;0;0;1;0;1;3;1;0;0;0;1;0;1;1;0;4;2;1;1;2;0;1;0;0;0
UK;19;5;3;1;0;2;1;4;1;1;1;1;0;2;1;3;0;0;0;2;1;1;3;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;3;0;0;1;0;1;1;0;2;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;2;0;0;2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;6;0;2;0;0;1;0;0;0;3;0;0;1;0;0;0;0;2;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Havla;7;9;15;11;4;4;7;6;5;4;3;4;6;3;2;3;0;2;1;4;8;3;8;3;2;0;7;1;3;3;2;0;0;1;3;2;4;1;3;1;3;3;0;1;2;0;1;6;0;2;1;2;0;1;6;3;1;2;3;1;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;1;0;0;2;1;2;1;1;1;3;7;1;1;1;0;0;2;0;0;1;2;2;0;1;0;0;0;0;0;3;0;0;1;0;0;1;0;0;0;4;1;1;0;0;0;0;1;0;1;2;5;0;1;0;0;0;1;2;4;0;0;0;1;0;2;0;4;3;1;0;0;0;0;1;2;0;0;0;1;0;1;1;1;0;2;0;0;2;1;1;1;6;0;0;0;1;1;0;1;1;0;0;0;2;0;4;4;0;0;1;0;0;1;0;0;0;0;0;1;0;0;3;0;0;0;1;2;1;0;1;0;1;0;1;0;2;0;0;0;0;1;1;2;0;0;1;1;1;1;0;0;0;0;0;1;1;3;0;1;1;0;1;0;0;0;1;0;1;0;2;0;0;0;0;1;0;0;0;0;1;0;0;2;1;0;0;2;0;0;2;0;1;2;0;0;0;2;2;2;1;0;0;0;0;0;4;1;0;0;0;1;0;0;0;2;0;0;3;2;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;1;0;0;1;2;1;0;0;0;1;0;1;1;0;0;3;0;0;0;0;0;1;0;0;0;1;0;3;0;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;2;1;1;0;0;0;0;0
Evropskou unii;37;17;14;27;36;7;8;3;4;9;35;2;8;26;1;1;2;4;5;32;5;4;6;0;6;15;2;0;4;1;4;7;2;0;10;9;9;5;4;1;2;5;0;1;2;1;1;1;1;2;1;8;0;0;3;7;1;4;0;0;2;0;0;0;0;0;0;3;0;0;2;1;0;0;1;0;3;0;2;0;2;0;0;0;2;4;2;3;0;3;0;5;5;1;0;0;0;12;0;18;1;24;0;22;0;0;1;1;0;1;5;0;0;7;2;10;0;0;1;8;3;0;0;8;0;1;0;2;2;0;0;1;1;2;2;0;0;3;0;0;0;0;2;1;2;0;19;0;1;0;0;0;1;0;0;0;2;8;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;1;2;2;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;3;1;4;0;1;0;6;1;0;4;0;0;0;0;0;1;2;3;0;0;0;0;0;0;13;18;0;0;1;0;0;0;1;0;0;0;0;4;0;0;0;0;1;0;14;17;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;3;0;0;0;2;1;0;0;0;1;7;7;0;0;0;0;3;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;2;0;1;2;0;0;3;1;2;0;0;0;0;0;1;7;3;0;0;0;0;1;0;0;1;0;0;4;0;0;1;0;7;0;1;0;0;0;0;0;0;1;0;0;9;0;0;7;0;0;2;0;1;0;0;0;0;0;0;1;0;0;1;0;2;0;3;1;0;0;0
Turecka;20;8;9;9;15;7;3;3;5;4;4;1;1;9;0;0;0;3;5;8;1;3;12;0;15;4;2;2;3;1;5;1;5;0;5;4;3;1;3;2;1;4;2;0;0;1;3;0;0;0;0;7;0;1;3;2;1;5;0;2;19;1;0;11;0;0;0;1;1;0;3;1;1;0;0;3;0;4;0;0;0;0;0;1;2;1;0;2;1;3;2;3;5;14;2;1;0;3;0;0;0;1;0;2;0;1;0;1;0;0;3;0;0;1;1;3;1;0;3;1;3;0;0;1;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;2;1;0;0;0;0;0;2;0;0;1;0;0;1;0;1;0;2;13;1;0;0;1;0;0;1;0;0;2;1;0;2;1;2;0;0;0;0;1;0;0;2;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;2;0;0;0;1;2;1;3;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;7;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;6;0;0;0;0;2;0;0;0;1;3;0;2;0;2;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3;1;1;0;1;0;0;2;0;0;0;1;0;0;0;1;0;0;3;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;1;0;0;1;0;0;0;0;1;0;0;3;1;2;0;0;0;0
Ruska;7;6;6;3;2;1;2;1;1;2;1;0;0;2;0;0;0;2;2;4;5;1;7;0;4;0;1;5;0;0;0;0;1;0;3;2;0;0;1;1;0;1;4;0;0;0;7;0;0;0;0;1;0;0;2;1;0;2;0;0;2;2;0;2;1;0;0;0;0;7;1;4;0;0;0;0;4;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;2;3;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;2;0;2;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;4;0;0;1;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
HDP;24;11;18;18;4;5;18;10;12;10;9;11;10;10;9;1;3;2;4;12;9;1;19;2;13;14;3;0;4;4;11;0;2;2;6;4;5;2;15;1;0;3;2;3;1;0;0;9;3;3;2;10;5;2;12;6;4;1;3;6;2;4;0;5;1;1;0;5;0;1;4;2;5;1;2;2;0;0;0;5;1;3;3;2;2;15;5;2;7;2;2;6;5;1;4;3;2;0;1;1;0;0;0;0;2;0;0;3;1;3;5;3;7;1;8;1;1;0;1;2;3;1;0;0;1;1;0;2;0;1;2;1;3;12;1;0;0;3;0;7;3;9;10;5;0;0;0;3;0;0;0;0;1;0;1;0;2;1;0;2;4;1;0;1;2;3;1;3;0;0;4;0;1;6;4;1;0;1;2;0;6;0;2;0;0;0;1;0;2;0;0;0;1;0;0;3;1;0;2;0;0;0;8;1;4;2;0;2;0;0;1;0;0;2;0;4;1;0;2;1;1;7;0;2;0;0;0;0;0;1;1;5;0;0;2;1;1;0;0;0;1;2;1;0;3;0;0;0;0;0;1;0;2;6;3;3;5;2;1;0;0;2;5;2;2;0;0;2;1;1;0;4;4;1;2;0;1;0;4;0;1;0;0;1;0;1;2;1;4;4;1;0;0;0;2;1;0;0;3;0;0;0;0;0;0;2;3;0;2;0;0;0;0;0;0;0;0;1;2;0;2;0;1;0;1;1;0;2;0;0;1;0;0;3;0;0;0;1;2;0;0;0;3;0;0;0;0;2;1;0;4;0;2;0;0;0;1;0;3;3;0;2;0;0;0;0;4;5;0;0;1;0;0;0;1;0;0;2;0;1;3;4;1;0;0;1;0;0;3;0;5;0;4;2;0;3;2;0;2;0
Maláčová;9;10;5;6;6;6;7;4;7;14;4;3;3;3;7;1;3;4;2;3;3;0;7;1;4;3;0;0;4;4;2;2;1;1;1;3;2;1;7;2;0;0;2;2;0;0;0;3;0;5;0;1;2;1;4;1;1;0;2;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;5;0;1;1;1;1;0;5;0;2;1;0;1;2;1;0;1;2;1;0;0;2;0;0;1;0;0;0;0;1;2;1;0;0;4;0;3;0;1;0;0;0;1;1;0;0;2;0;0;1;0;4;1;1;2;6;1;0;0;0;0;3;1;1;3;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;3;2;0;1;0;0;0;3;2;1;2;0;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;1;0;4;1;0;1;0;1;1;0;0;0;0;2;0;0;0;0;3;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;2;1;2;3;2;1;0;0;0;0;1;0;0;0;1;1;0;0;3;1;2;3;0;0;1;1;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;2;3;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;2;0;1;1;0;1;0;0;1;0
